image_path,mask_path
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0438\patient0438_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0438\patient0438_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0438\patient0438_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0438\patient0438_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0313\patient0313_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0313\patient0313_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0313\patient0313_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0313\patient0313_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0313\patient0313_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0313\patient0313_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0313\patient0313_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0313\patient0313_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0114\patient0114_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0114\patient0114_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0114\patient0114_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0114\patient0114_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0114\patient0114_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0114\patient0114_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0114\patient0114_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0114\patient0114_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0218\patient0218_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0218\patient0218_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0218\patient0218_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0218\patient0218_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0218\patient0218_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0218\patient0218_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0218\patient0218_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0218\patient0218_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0251\patient0251_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0251\patient0251_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0251\patient0251_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0251\patient0251_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0251\patient0251_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0251\patient0251_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0251\patient0251_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0251\patient0251_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0073\patient0073_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0073\patient0073_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0073\patient0073_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0073\patient0073_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0073\patient0073_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0073\patient0073_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0073\patient0073_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0073\patient0073_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0133\patient0133_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0133\patient0133_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0133\patient0133_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0133\patient0133_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0133\patient0133_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0133\patient0133_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0133\patient0133_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0133\patient0133_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0046\patient0046_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0046\patient0046_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0046\patient0046_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0046\patient0046_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0046\patient0046_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0046\patient0046_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0046\patient0046_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0046\patient0046_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0134\patient0134_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0134\patient0134_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0134\patient0134_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0134\patient0134_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0134\patient0134_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0134\patient0134_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0134\patient0134_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0134\patient0134_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0007\patient0007_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0007\patient0007_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0007\patient0007_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0007\patient0007_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0007\patient0007_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0007\patient0007_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0007\patient0007_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0007\patient0007_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0028\patient0028_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0028\patient0028_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0028\patient0028_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0028\patient0028_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0028\patient0028_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0028\patient0028_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0028\patient0028_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0028\patient0028_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0429\patient0429_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0429\patient0429_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0429\patient0429_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0429\patient0429_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0429\patient0429_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0429\patient0429_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0429\patient0429_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0429\patient0429_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0154\patient0154_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0154\patient0154_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0154\patient0154_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0154\patient0154_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0154\patient0154_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0154\patient0154_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0154\patient0154_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0154\patient0154_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0040\patient0040_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0040\patient0040_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0040\patient0040_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0040\patient0040_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0040\patient0040_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0040\patient0040_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0040\patient0040_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0040\patient0040_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0268\patient0268_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0268\patient0268_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0268\patient0268_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0268\patient0268_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0268\patient0268_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0268\patient0268_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0268\patient0268_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0268\patient0268_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0301\patient0301_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0301\patient0301_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0301\patient0301_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0301\patient0301_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0301\patient0301_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0301\patient0301_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0301\patient0301_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0301\patient0301_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0375\patient0375_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0375\patient0375_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0375\patient0375_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0375\patient0375_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0375\patient0375_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0375\patient0375_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0375\patient0375_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0375\patient0375_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0211\patient0211_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0211\patient0211_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0211\patient0211_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0211\patient0211_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0211\patient0211_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0211\patient0211_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0211\patient0211_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0211\patient0211_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0364\patient0364_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0364\patient0364_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0364\patient0364_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0364\patient0364_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0364\patient0364_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0364\patient0364_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0364\patient0364_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0364\patient0364_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0405\patient0405_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0405\patient0405_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0405\patient0405_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0405\patient0405_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0405\patient0405_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0405\patient0405_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0405\patient0405_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0405\patient0405_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0248\patient0248_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0248\patient0248_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0248\patient0248_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0248\patient0248_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0248\patient0248_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0248\patient0248_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0248\patient0248_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0248\patient0248_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0327\patient0327_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0327\patient0327_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0327\patient0327_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0327\patient0327_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0327\patient0327_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0327\patient0327_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0327\patient0327_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0327\patient0327_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0031\patient0031_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0031\patient0031_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0031\patient0031_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0031\patient0031_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0031\patient0031_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0031\patient0031_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0031\patient0031_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0031\patient0031_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0077\patient0077_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0077\patient0077_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0077\patient0077_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0077\patient0077_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0077\patient0077_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0077\patient0077_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0077\patient0077_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0077\patient0077_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0192\patient0192_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0192\patient0192_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0192\patient0192_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0192\patient0192_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0192\patient0192_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0192\patient0192_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0192\patient0192_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0192\patient0192_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0323\patient0323_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0323\patient0323_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0323\patient0323_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0323\patient0323_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0323\patient0323_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0323\patient0323_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0323\patient0323_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0323\patient0323_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0279\patient0279_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0279\patient0279_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0279\patient0279_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0279\patient0279_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0279\patient0279_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0279\patient0279_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0279\patient0279_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0279\patient0279_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0356\patient0356_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0356\patient0356_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0356\patient0356_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0356\patient0356_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0356\patient0356_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0356\patient0356_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0356\patient0356_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0356\patient0356_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0019\patient0019_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0019\patient0019_2CH_ED_gt.mhd
